,City,longitude,latitude
0,AACHEN,50.783,6.083
1,AALEN,48.833,10.100
2,AARBERGEN,50.233,8.083
3,ABENBERG,49.250,10.967
4,ABENSBERG,48.817,11.850
5,ABSBERG,49.150,10.883
6,ABSTATT,49.067,9.283
7,ABTSTEINACH,49.550,8.783
8,ACHBERG,47.633,9.717
9,ACHIM,53.017,9.033
10,ACHSLACH,48.967,12.933
11,ACHSTETTEN,48.267,9.900
12,ACHTRUP,54.783,9.033
13,ADELBERG,48.767,9.600
14,ADELEBSEN,51.583,9.750
15,ADELHEIDSDORF,52.567,10.067
16,ADELMANNSFELDEN,48.950,10.000
17,ADELSCHLAG,48.833,11.217
18,ADELSDORF,49.717,10.900
19,ADELSHEIM,49.400,9.400
20,ADELSHOFEN,49.433,10.183
21,ADELSRIED,48.433,10.717
22,ADENAU,50.383,6.933
23,ADENBÜTTEL,52.383,10.450
24,ADENDORF,53.283,10.450
25,ADENSTEDT,52.000,9.933
26,ADLKOFEN,48.550,12.267
27,ADORF,50.321,12.257
28,ADORF,50.755,12.880
29,AERZEN,52.050,9.267
30,AFFALTERBACH,48.917,9.317
31,AFFING,48.467,10.983
32,AGA,50.963,12.091
33,AGLASTERHAUSEN,49.350,8.983
34,AHAM,48.533,12.467
35,AHAUS,52.083,7.017
36,AHAUSEN,53.067,9.317
37,AHLBECK,53.672,14.188
38,AHLDEN,52.767,9.550
39,AHLEN,51.767,7.883
40,AHLERSTEDT,53.400,9.450
41,AHLSDORF,51.546,11.474
42,AHNATAL,51.367,9.400
43,AHNSBECK,52.617,10.283
44,AHNSEN,52.267,9.100
45,AHOLFING,48.950,12.467
46,AHOLMING,48.733,12.917
47,AHORN,49.500,9.533
48,AHORN,50.233,10.950
49,AHORNTAL,49.850,11.433
50,AHRBRÜCK,50.483,6.983
51,AHRENSBURG,53.667,10.233
52,AHRENSBÖK,54.017,10.567
53,AHRENSHAGEN,54.245,12.594
54,AICHA VORM WALD,48.667,13.300
55,AICHACH,48.467,11.133
56,AICHEN,48.233,10.550
57,AICHHALDEN,48.267,8.400
58,AICHSTETTEN,47.883,10.050
59,AICHTAL,48.633,9.267
60,AICHWALD,48.767,9.383
61,AIDENBACH,48.567,13.083
62,AIDHAUSEN,50.150,10.433
63,AIDLINGEN,48.683,8.900
64,AIGLSBACH,48.700,11.717
65,AINDLING,48.517,10.967
66,AINRING,47.817,12.950
67,AISLINGEN,48.500,10.450
68,AITERHOFEN,48.850,12.617
69,AITRACH,47.950,10.083
70,AITRANG,47.817,10.533
71,AKEN,51.856,12.043
72,ALBBRUCK,47.600,8.133
73,ALBERSDORF,54.150,9.283
74,ALBERSHAUSEN,48.700,9.567
75,ALBERSWEILER,49.217,8.033
76,ALBERTSHOFEN,49.767,10.167
77,ALBIG,49.783,8.117
78,ALBISHEIM (PFRIMM),49.650,8.100
79,ALBSTADT,48.217,9.033
80,ALDENHOVEN,50.900,6.283
81,ALDERSBACH,48.583,13.083
82,ALDINGEN,48.100,8.700
83,ALERHEIM,48.850,10.617
84,ALETSHAUSEN,48.200,10.383
85,ALF,50.050,7.133
86,ALFDORF,48.850,9.717
87,ALFELD,49.433,11.550
88,ALFELD (LEINE),51.983,9.833
89,ALFHAUSEN,52.500,7.950
90,ALFTER,50.733,7.017
91,ALGERMISSEN,52.250,9.967
92,ALHEIM,51.033,9.667
93,ALLENDORF (EDER),51.033,8.667
94,ALLENDORF (LUMDA),50.683,8.817
95,ALLENSBACH,47.717,9.067
96,ALLERSBERG,49.250,11.233
97,ALLERSHAUSEN,48.433,11.600
98,ALLING,48.133,11.300
99,ALLMENDINGEN,48.333,9.733
100,ALLMERSBACH IM TAL,48.917,9.467
101,ALLSTEDT,51.404,11.388
102,ALMSTEDT,52.033,9.967
103,ALPENROD,50.633,7.867
104,ALPIRSBACH,48.333,8.467
105,ALSBACH-HÄHNLEIN,49.733,8.633
106,ALSDORF,50.783,7.883
107,ALSDORF,50.883,6.167
108,ALSENZ,49.733,7.817
